"","year_1","year_2","year_3","year_4","year_5","year_6","year_7","year_8","year_9","year_10","year_11","year_12","year_13","year_14","year_15"
"ECU",0.4,-1.084,-0.774,6.838,3.984,-0.294,5.222,6.401,0.535,-1.814,-0.631,-1.64,-2.004,8.574,6.193
"EGY",-0.022,0.579,2.358,1.078,1.8,4.042,1.145,1.715,1.542,1.878,2.119,-1.557,2.661,2.769,0.129
"SLV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETH",-6.395,-1.322,-1.716,-2.559,-3.605,-1.493,-0.853,-1.716,-4.073,-2.673,-0.163,-8.992,-2.572,-0.676,-0.779
"FRO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FJI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FRA",-2.106,-5.705,-6.295,-12.853,-6.685,-5.067,-3.698,-6.285,-6.955,-3.54,-6.661,-3.569,-5.33,0.404,4.236
"PYF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GAB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GMB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GEO",-10.882,-10.957,-12.891,-15.308,-6.066,-12.143,-7.738,-3.129,-10.602,-8.155,-8.84,-6.187,-5.18,-11.316,0.678
"DEU",-7.545,-8.692,-7.502,-6.198,-5.987,-3.584,-1.089,-6.21,-4.237,-6.072,-6.886,-4.464,1.458,-5.829,-2.768
"GHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRC",4.748,-15.43,-13.86,-20.207,-3.802,-12.98,-8.188,-8.197,-1.523,-3.252,-4.168,-3.77,-0.424,-3.975,2.126
"GRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GTM",-7.864,-11.538,-1.786,-3.747,1.288,-1.063,-5.194,-3.595,-0.81,3,3.417,-3.653,4.22,4.882,5.518
"GIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GUY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HKG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HUN",-13.992,-15.83,-14.652,-28.503,-3.012,-15.31,-14.062,-10.94,-10.38,-6.19,-13.172,-2.269,-4.51,-2.94,0.589
"ISL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IND",-3.613,0.087,0.913,-4.17,-2.87,-3.435,2.268,0.901,4.302,2.589,2.683,-0.472,4.926,3.065,4.896
"IDN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRN",-4.189,-13.203,-13.288,-17.152,-9.87,-12.422,-11.026,-6.689,-11.482,-5.363,-8.397,-6.951,-9.377,-10.143,-4.496
"IRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISR",19.44,24.846,3.962,34.233,19.653,22.524,7.397,13.179,16.785,15.455,-3.097,18.033,15.66,17.076,17.638
"ITA",4.212,-9.917,-6.766,-16.325,4.979,-8.658,-2.991,-1.901,-1.575,-1.247,-1.929,2.158,-1.971,1.553,5.521
"JAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JPN",-9.872,-16.024,-15.46,-19.497,-13.713,-18.332,-15.524,-11.552,-11.936,-10.415,-15.502,-6.064,-3.153,-5.153,-6.12
